n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,2676.19,4160.56,1827,1895,1922,1955.75,25470
2,2907.53,4832.76,1966,1997.75,2031,2062.25,29384
3,3216.97,6501.72,1964,2016.5,2045.5,2075.25,38843
4,3461.69,7274.76,2061,2105,2154.5,2210.75,43322
