n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,2.27654e+11,1.49391e+08,2.27564e+11,2.27572e+11,2.27587e+11,2.27669e+11,2.27877e+11
2,4.77894e+11,2.26955e+08,4.77702e+11,4.77782e+11,4.77826e+11,4.77939e+11,4.78222e+11
3,1.01466e+12,6.51417e+08,1.01404e+12,1.01433e+12,1.01452e+12,1.01486e+12,1.01557e+12
4,2.06277e+12,1.76272e+08,2.06257e+12,2.06268e+12,2.06277e+12,2.06286e+12,2.06299e+12
