n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,64.579,7.86891,57,60,62,66,219
20000,64.986,6.16732,59,62,63,65,158
30000,63.747,5.71118,57,61,62,63,173
40000,64.071,6.74785,59,61,62,64,219
50000,63.069,5.94572,58,61,62,63,189
60000,62.925,5.31541,57,60,61,63,147
70000,62.812,5.15084,58,61,62,63,195
80000,62.047,6.72771,57,60,61,62,244
90000,62.759,7.58805,58,61,62,63,275
100000,78.12,413.723,56,60,62,63,13139
