n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,197.292,681.871,109,144,157.5,172,15747
20000,201.996,707.723,114,149,164,178,15967
30000,171.102,110.847,115,150,164,179,2261
40000,179.627,109.164,123,160,173,188,2185
50000,208.896,751.89,119,155,169,184,18461
60000,179.357,104.339,123,157,174,188,2146
70000,212.543,628.634,126,162,178,193,14075
80000,201.537,600.549,129,161,177.5,191,18866
90000,188.176,147.21,128,166,179,193,3181
100000,189.3,168.201,129,165,179,193,4191
